num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
1,mcs_vc1_baa,baa,baa,baa baa,baa baa,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,baa baa
2,mcs_vc1_choo,choochoo,choo,choo choo,choo choo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,choo choo
3,mcs_vc1_cockadoo,cockadoodle,cockadoodledoo,cockadoodledoo,cockadoodledoo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,cockadoodledoo
4,mcs_vc1_grr,grrr,grr,grrr,grrr,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,grrr
5,mcs_vc1_meow,meow,meow,meow,meow,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,meow
6,mcs_vc1_moo,moo,moo,moo,moo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,moo
7,mcs_vc1_ouch,ouch,ouch,ouch,ouch,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,ouch
8,mcs_vc1_quack,quack,quack,quack quack,quack quack,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,quack quack
9,mcs_vc1_uhoh,uhoh,uhoh,uh oh,uh oh,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,uh oh
10,mcs_vc1_vroom,vroom,vroom,vroom,vroom,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,vroom
11,mcs_vc1_woof,woof,woof,woof woof,woof woof,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,woof woof
12,mcs_vc1_yum,yum,yum,yum yum,yum yum,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,yum yum
13,mcs_vc2_alligator,alligator,alligator,alligator,alligator,animals,Noun,Noun,Noun,Noun,Noun,Noun,alligator
14,mcs_vc2_animal,animal,animal,animal,animal,animals,Noun,Noun,Noun,Noun,Noun,Noun,animal
15,mcs_vc2_ant,ant,ant,ant,ant,animals,Noun,Noun,Noun,Noun,Noun,Noun,ant
16,mcs_vc2_bear,bear,bear,bear,bear,animals,Noun,Noun,Noun,Noun,Noun,Noun,bear
17,mcs_vc2_bee,bee,bee,bee,bee,animals,Noun,Noun,Noun,Noun,Noun,Noun,bee
