num_item_id,word,replacement_word,replacement_word2,word_WordBank1,word_WordBank2,category,WG_class,class,classEH,RescorlaSafyer_Class,classEHse,classVerbs,CDI_Metadata_compatible
1,mcg_vc1_baa,baa,baa,baa baa,baa baa,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,baa baa
2,mcg_vc1_choo,choochoo,choo,choo choo,choo choo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,choo choo
3,mcg_vc1_cck,cockadoodle,cockadoodledoo,cockadoodledoo,cockadoodledoo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,cockadoodledoo
4,mcg_vc1_grr,grrr,grr,grrr,grrr,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,grrr
5,mcg_vc1_mw,meow,meow,meow,meow,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,meow
6,mcg_vc1_moo,moo,moo,moo,moo,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,moo
7,mcg_vc1_ouch,ouch,ouch,ouch,ouch,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,ouch
8,mcg_vc1_qua,quack,quack,quack quack,quack quack,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,quack quack
9,mcg_vc1_uh,uhoh,uhoh,uh oh,uh oh,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,uh oh
10,mcg_vc1_vrm,vroom,vroom,vroom,vroom,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,vroom
11,mcg_vc1_woof,woof,woof,woof woof,woof woof,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,woof woof
12,mcg_vc1_yum,yum,yum,yum yum,yum yum,sounds,NA,NA,SoundEffect,NA,SoundEffect,NA,yum yum
14,mcg_vc2_anm,animal,animal,animal,animal,animals,Noun,Noun,Noun,Noun,Noun,Noun,animal
16,mcg_vc2_bear,bear,bear,bear,bear,animals,Noun,Noun,Noun,Noun,Noun,Noun,bear
17,mcg_vc2_bee,bee,bee,bee,bee,animals,Noun,Noun,Noun,Noun,Noun,Noun,bee
18,mcg_vc2_bird,bird,bird,bird,bird,animals,Noun,Noun,Noun,Noun,Noun,Noun,bird
19,mcg_vc2_bug,bug,bug,bug,bug,animals,Noun,Noun,Noun,Noun,Noun,Noun,bug
20,mcg_vc2_bunn,bunny,bunny,bunny,bunny,animals,Noun,Noun,Noun,Noun,Noun,Noun,bunny
21,mcg_vc2_bttrf,butterfly,butterfly,butterfly,butterfly,animals,Noun,Noun,Noun,Noun,Noun,Noun,butterfly
22,mcg_vc2_cat,cat,cat,cat,cat,animals,Noun,Noun,Noun,Noun,Noun,Noun,cat
23,mcg_vc2_chic,chicken,chicken,chicken (animal),chicken_ani,animals,Noun,Noun,Noun,Noun,Noun,Noun,chicken (animal)
24,mcg_vc2_cow,cow,cow,cow,cow,animals,Noun,Noun,Noun,Noun,Noun,Noun,cow
25,mcg_vc2_deer,deer,deer,deer,deer,animals,Noun,Noun,Noun,Noun,Noun,Noun,deer
26,mcg_v2_dog,dog,dog,dog,dog,animals,Noun,Noun,Noun,Noun,Noun,Noun,dog
27,mcg_vc2_donk,donkey,donkey,donkey,donkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,donkey
28,mcg_vc2_duck,duck,duck,duck,duck,animals,Noun,Noun,Noun,Noun,Noun,Noun,duck
29,mcg_vc2_elep,elephant,elephant,elephant,elephant,animals,Noun,Noun,Noun,Noun,Noun,Noun,elephant
30,mcg_vc2_fish,fish,fish,fish (animal),fish_ani,animals,Noun,Noun,Noun,Noun,Noun,Noun,fish (animal)
31,mcg_vc2_frog,frog,frog,frog,frog,animals,Noun,Noun,Noun,Noun,Noun,Noun,frog
32,mcg_vc2_grff,giraffe,giraffe,giraffe,giraffe,animals,Noun,Noun,Noun,Noun,Noun,Noun,giraffe
33,mcg_vc2_gse,goose,goose,goose,goose,animals,Noun,Noun,Noun,Noun,Noun,Noun,goose
35,mcg_vc2_hrse,horse,horse,horse,horse,animals,Noun,Noun,Noun,Noun,Noun,Noun,horse
36,mcg_vc2_kitt,kitty,kitty,kitty,kitty,animals,Noun,Noun,Noun,Noun,Noun,Noun,kitty
37,mcg_vc2_lamb,lamb,lamb,lamb,lamb,animals,Noun,Noun,Noun,Noun,Noun,Noun,lamb
38,mcg_vc2_lion,lion,lion,lion,lion,animals,Noun,Noun,Noun,Noun,Noun,Noun,lion
39,mcg_vc2_mky,monkey,monkey,monkey,monkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,monkey
41,mcg_vc2_mous,mouse,mouse,mouse,mouse,animals,Noun,Noun,Noun,Noun,Noun,Noun,mouse
42,mcg_vc2_owl,owl,owl,owl,owl,animals,Noun,Noun,Noun,Noun,Noun,Noun,owl
43,mcg_vc2_peng,penguin,penguin,penguin,penguin,animals,Noun,Noun,Noun,Noun,Noun,Noun,penguin
44,mcg_vc2_pig,pig,pig,pig,pig,animals,Noun,Noun,Noun,Noun,Noun,Noun,pig
45,mcg_vc2_pony,pony,pony,pony,pony,animals,Noun,Noun,Noun,Noun,Noun,Noun,pony
46,mcg_vc2_pupp,puppy,puppy,puppy,puppy,animals,Noun,Noun,Noun,Noun,Noun,Noun,puppy
48,mcg_vc2_sheep,sheep,sheep,sheep,sheep,animals,Noun,Noun,Noun,Noun,Noun,Noun,sheep
49,mcg_vc2_sqrr,squirrel,squirrel,squirrel,squirrel,animals,Noun,Noun,Noun,Noun,Noun,Noun,squirrel
50,mcg_vc2_ted,teddybear,teddybear,teddybear,teddybear,animals,Noun,Noun,Noun,Noun,Noun,Noun,teddybear
51,mcg_vc2_tigr,tiger,tiger,tiger,tiger,animals,Noun,Noun,Noun,Noun,Noun,Noun,tiger
52,mcg_vc2_turk,turkey,turkey,turkey,turkey,animals,Noun,Noun,Noun,Noun,Noun,Noun,turkey
53,mcg_vc2_turt,turtle,turtle,turtle,turtle,animals,Noun,Noun,Noun,Noun,Noun,Noun,turtle
56,mcg_vc3_air,airplane,airplane,airplane,airplane,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,airplane
57,mcg_vc3_bicy,bicycle,bicycle,bicycle,bicycle,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bicycle
59,mcg_vc3_bus,bus,bus,bus,bus,vehicles,Noun,Noun,Noun,Noun,Noun,Noun,bus
